bank_name,atm_cd,atm_lat,atm_long,stname,dtname,atm_city,atm_pin_cd
State Bank Of India,T1NW020187010,16.393099,77.957042,TELANGANA,Wanaparthy,KOTHAKOTA ROAD WANAPARTHY, 
Union Bank Of India,L0156003,16.3953,77.7863,TELANGANA,Wanaparthy,GADWAL,509125
Union Bank Of India,H0712101,16.3953,77.7863,TELANGANA,Wanaparthy,AMARACHINTA,509130
Union Bank Of India,H0156102,16.3953,77.7981,TELANGANA,Wanaparthy,GADWAL,509125
Union Bank Of India,H1788101,16.399,78.637,TELANGANA,Nagarkurnool,MAHABUBNAGAR,509375
State Bank Of India,S1BW006648002,16.3992,78.62297,TELANGANA,Nagarkurnool,MAHBUBNAGAR,509375
State Bank Of India,S5NL006648621,16.399235,78.635404,TELANGANA,Nagarkurnool,ACHAMPETA, 
Union Bank Of India,COBD010701,16.4102,77.3287,TELANGANA,Narayanpet,MAHBOOB NAGAR,509352
IDBI Bank Ltd,ID134511,16.44367,77.84294,TELANGANA,Mahabubnagar,Mahbubnagar,509216
Bank Of Baroda,1VW405201,16.445268,78.458174,TELANGANA,Nagarkurnool,TELKAPALLE,509385
State Bank Of India,S1NG022046001,16.446465,78.45362,TELANGANA,Nagarkurnool,TELKAPALLY, 
State Bank Of India,S1NG021996001,16.448037,78.160004,TELANGANA,Wanaparthy,GOPALPETA, 
State Bank Of India,T1BS020198003,16.484977,78.313658,TELANGANA,Nagarkurnool,NAGARKURNOOL, 
State Bank Of India,T1BW020184040,16.484977,78.313658,TELANGANA,Nagarkurnool,Nagarkurnool, 
State Bank Of India,S1NG021969001,16.486745,78.312898,TELANGANA,Nagarkurnool,NAGARKURNOOL, 
State Bank Of India,S1BB020198002,16.48675,78.312879,TELANGANA,Nagarkurnool,NAGARKURNOOL, 
Axis Bank Ltd,TPCN100110,16.486798,78.312654,TELANGANA,Nagarkurnool,0,509209
Axis Bank Ltd,DPRH100106,16.4868,78.31265,TELANGANA,Nagarkurnool,NAGARKURNOOL, 
Axis Bank Ltd,TPCN100102,16.486803,78.312655,TELANGANA,Nagarkurnool,0,509209
State Bank Of India,S5NE020198622,16.48689,78.312939,TELANGANA,Nagarkurnool,NAGARKURNOOL, 
Axis Bank Ltd,DECN366001,16.48929,78.30853,TELANGANA,Nagarkurnool,NAGARKURNOOL, 
Union Bank Of India,L2013002,16.491275,78.298573,TELANGANA,Nagarkurnool,NAGERKURNOOL, 
ICICI Bank Ltd,SACWH586,16.491405,78.304115,TELANGANA,Nagarkurnool, , 
Union Bank Of India,H2013101,16.4931,78.3101,TELANGANA,Nagarkurnool,NAGERKURNOOL,509209
State Bank Of India,S1BW005874001,16.5019,77.51257,TELANGANA,Narayanpet,MAHBUBNAGAR,509241
State Bank Of India,S1BW020197003,16.505026,77.517105,TELANGANA,Narayanpet,MAKTHAL, 
State Bank Of India,S5NC020197621,16.505027,77.517071,TELANGANA,Narayanpet,MAKTHAL, 
Union Bank Of India,H0870101,16.5058,77.5113,TELANGANA,Narayanpet,NARAYANPETA,509210
Union Bank Of India,W1289001,16.5058,77.5113,TELANGANA,Narayanpet,MAKTHAL,509208
State Bank Of India,S1BW007219001,16.50902,77.93367,TELANGANA,Mahabubnagar,MAHBUBNAGAR,509382
State Bank Of India,S5NL020442621,16.510083,77.931191,TELANGANA,Mahabubnagar,BALANAGAR, 
Union Bank Of India,NHYD05101111111,16.52446,78.23418,TELANGANA,Nagarkurnool,Mehbubnagar,509215
